Total unknown suffix patterns: 2748
Modification types in DB: 153
Precision classes in DB: 12

3S\t223\tKR16FXLL/3AS, HMK2218L/3AS, KRV16FLL/3AS, KRV26FLL/3AS, KRV19FLL/3AS
SS\t141\tSS-626-2Z, SS-UC204, SS-UC205, SS-UC206, SS-UC208
2S\t49\t6212-2NSEC3, LR5303-2HRS-TVH-XL, LR5305-2HRS-TVH-XL, LR5306-2HRS-TVH-XL, LR5203-2HRS-TVH-XL
G5\t48\tGE25FO-2RS, GE25LO, GE15ES, GE25HO-2RS, GE25ES
CR\t30\t4T-CR-0468PX1, EC0-CR-0362PX1, CR-32, CR-40, CR-36
H320°\t25\t6003BHT320°-350°, 6004BHT320°-350°, 6005BHT320°-350°, 6200BHT320°-350°, 6009BHT320°-350°
RP3\t24\t7209A5TRDULP3, 7920A5TRDULP3, 7000A5TRDULP3, 7001A5TRDULP3, 7002A5TRDULP3
U07\t24\tUC207-21, M-UC207D1, UC307D1, UC207, UC207-23G2
S2\t24\t6TS2-SX06B81LLUANPX1V1, 2TS2-3A-6202X40T2X4CS22-4, 2TS2-3A-SX02A10CS29, 2TS2-3A-SX0393CS29, TS2-PK144X204X98X6
CRP3\t23\t7916CTRDULP3, 7912CTRDULP3, 7018CTRDULP3, 7208CTRDULP3, 7001CTRDULP3
G0\t23\tGE10ES, GE20ES-2RS, GE20UK-2RS, GE20LO, GE10FO
RG\t23\t3202B-2ZRTNGC3, 3204B-2ZRTNGC3, 3201B-2ZRTNG, 3200B-2ZRTNGC3, 3303B-2ZRTNG
R6\t22\tR6ZZ/2AS, MR62ZZ, R6-2RS, R6ZZ, NATR6
G50\t21\tGE50DO, GE50DO-2RS, GE50FO-2RS, GE50LO, GE50SX
U209\t20\tNU209C3, M-UEL209D1, NU209, UEL209, NU209EW
R50\t20\tLR50/6-2RSR-HLC, LR50/6-2RSR, NATR50, NATR50-2RS, NATR50-2RS-X
G7\t20\tGE17UK, GE17ES, GE17-DO-2RS, GE17DO-2RS, GE17DO
G40\t19\tGE40FW-2RS, GE40DO-2RS, GE40FO-2RS, GE40HO-2RS, GE40UK-2RS
G60\t18\tGE60-DO, GE60FO-2RS, GE60SX, GE60DO, GE60UK-2RS
R20\t17\tBBER20LUU, BBER20UU, R20LL/2AS, NATR20, NATR20XLL/3AS
R30\t17\tBBER30UU, NKXR30T2Z, NATR30, NATR30-2RS-X, NATR30LL/3AS
U207\t17\tUEL207, NU207C3, NU207, NU207EW, UEL207D1W3
R0\t17\tRNA0-30X42X32ZW, RNA0-45X62X40ZW, RNA0-10X17X10T2, RNA0-16X24X13, RNA0-17X25X13
1R\t17\tNURT25-1R, NURT15-1R, NURT30-1R, TR0708-1R, NURT17-1R
YCR\t17\tYCR-28, YCR-30, YCR-36, YCR-12, YCR-14
+H\t16\tUK206+H, UK207+H, UK209+H, UK210+H, UK211+H
RC\t15\tNK28/30RCT, RCB-162117, NK50/25RCT, RCB-081214-FS, RCB-121616-FS
G45\t15\tGE45FW-2RS, GE45FO-2RS, GE45HO-2RS, GE45SX, GE45DO
